"created_at,""text""";;;
"Fri Nov 13 23:25:24 +0000 2015,""@comcast the line I've posted &amp"; posted about is at my grandma's house. It's illegally placed &amp;" a major safety hazard for my grandma.""";
"Sat Nov 14 01:46:54 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 22:59:10 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/zCxCYWN4B1""";;;
"Fri Nov 13 22:49:34 +0000 2015,""RT @jccaylen: NEW VIDEO on Monday #sponsored by @ATT w the new #HTCOneA9 !  whoop whoop!!? U can enter to win one here: https://t.co/GdWfAN�""";;;
"Fri Nov 13 23:05:02 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/ucy7Q0f5LM""";;;
"Fri Nov 13 19:18:03 +0000 2015,""RT @TheAMAs: RT to VOTE for @justinbieber, @diplo and @Skrillex for #AMAs Collab of the Year Un-leashed by @TMobile via Twitter. https://t.�""";;;
"Fri Nov 13 21:33:26 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:41:30 +0000 2015,""@msnbc @BBC @CNN somebody continually ruins the cell phone tower reception 4g bars then kicks to 0 @TMobile then cult tries taking over line""";;;
"Sat Nov 14 00:54:36 +0000 2015,""@VerizonSupport our wifi is spotty and not providing service appropriate! outages in DFW?? Come on!""";;;
"Fri Nov 13 21:57:08 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Sat Nov 14 01:49:47 +0000 2015,""Whelp. I'm home roll up ???. And @hulu""";;;
"Fri Nov 13 23:28:39 +0000 2015,""@MarisaMendez @comcastcares they really do suck by far the worse service I had smh""";;;
"Fri Nov 13 19:57:41 +0000 2015,""yeah that's right BABY @ATT  https://t.co/FOoPSNQs8D""";;;
"Fri Nov 13 19:23:40 +0000 2015,""@NappyDreadz @ATT im beginning to not like them""";;;
"Fri Nov 13 20:36:13 +0000 2015,""Forget Comcast. Support a WISP! #tech #comcast #bussines #LTE https://t.co/Pbom8mV6L5 via @CutCableToday""";;;
"Fri Nov 13 18:55:36 +0000 2015,""#Verizon #Tablet � Verizon launches own-brand Ellipsis 10 tablet � To follow up� https://t.co/ChKRMGE7eJ #Android https://t.co/Lh3ymh4vRv""";;;
"Sat Nov 14 01:49:24 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:31:34 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Sat Nov 14 01:46:57 +0000 2015,""@TMobileHelp Yes. I need assistance with my account. Still cannot get account to update correctly.""";;;
"Fri Nov 13 23:21:53 +0000 2015,""@hulu Dethklok is one is of the great bands since Spinal Tap, they deserve atleast a finale!""";;;
"Fri Nov 13 21:32:04 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:09:04 +0000 2015,""@hulu_support yes the audio continues but black""";;;
"Fri Nov 13 18:18:01 +0000 2015,""MT @HowHandyIsThat .@dish Rush Compares Gay Marriage to Pedophilia https://t.co/1Q2D6m4F29� #StopRush""";;;
"Fri Nov 13 23:13:18 +0000 2015,""@sprintcare @marceloclaure just found internal memo on your forums guess your not carrying going to order it from @att then.""";;;
"Fri Nov 13 18:36:19 +0000 2015,""@VerizonSupport yes I have. There has been 4 scheduled appointments, I've talked to numerous people.""";;;
"Fri Nov 13 19:00:47 +0000 2015,""Top 10 TV Shows You Can Only See On Streaming Services #Netflix #Hulu #StreamingServices https://t.co/GckKO1x9aS""";;;
"Fri Nov 13 19:24:21 +0000 2015,""I must say that Comcast's Xfinity on Demand is probably the best thing that happened to TV. I love it. @comcast""";;;
"Sat Nov 14 01:18:46 +0000 2015,""@ATTCares not helpful. I'm being over charged when I'm using wifi to prevent this.""";;;
"Fri Nov 13 20:55:20 +0000 2015,""@verizon @Chenet21 were all surprised because your raising the cost on loyal unlimited users #notcustomerfocused #greed""";;;
"Sat Nov 14 00:41:12 +0000 2015,""87 for one line?! @TMobile atleast take me out to dinner before you fuck me""";;;
"Fri Nov 13 21:11:15 +0000 2015,""@ATTCares Thanks! The problem is I have $0.17 on my balance and I don't know how to remove it!""";;;
"Sat Nov 14 00:42:20 +0000 2015,""Just got real free cell service with #ringplus https://t.co/IQ75cY0rvy Thanks @ringplusmobile and @CNET  - sorry #TMobile #Verizon #ATT""";;;
"Sat Nov 14 00:27:14 +0000 2015,""@comcastcares it tends to slow down for us at random times. I pay for business class and can't have slow downs.""";;;
"Fri Nov 13 19:20:37 +0000 2015,""@TMobileHelp done.""";;;
"Fri Nov 13 21:07:54 +0000 2015,""Another tweet in #samo santa monica #losangeles #beach - https://t.co/2RKY55DReU https://t.co/6LowsaUaQ1""";;;
"Fri Nov 13 20:20:03 +0000 2015,""@verizon @VZWSupport if call/text to Mexico is now included why am i still being charged for it ????????????""";;;
"Fri Nov 13 18:13:39 +0000 2015,""#Verizon to charge new $20 activation fee https://t.co/ODALFwRkxQ https://t.co/ZyPrzpouQt""";;;
"Fri Nov 13 19:58:18 +0000 2015,""@dReamTeamPlaya absolutely unacceptable that loyal paying customers have to go through this. @TMobileHelp is a joke! Thanks for sharing ????""";;;
"Fri Nov 13 23:00:44 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 22:16:14 +0000 2015,""Read this if you care about privacy and are an @ATT customer. It's the AT T Next installment plan privacy policy. https://t.co/chDKL3BJHT""";;
"Fri Nov 13 22:09:56 +0000 2015,""Hello 3ReV : 3REV, Do u wanna get FREE iPh0ne 6? Simply check my bi0. Thx https://t.co/3rVmRfQA4w""";;;
"Fri Nov 13 21:36:32 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 19:53:51 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/jZFZmmhtKZ""";;;
"Fri Nov 13 20:36:01 +0000 2015,""@TMobileHelp dm sent. It's a long message.""";;;
"Fri Nov 13 22:55:18 +0000 2015,""RT @lheald86: I'm trying to cancel my @comcast account and somehow my call has been """"disconnected"""" 4 times #comcastsucks""";;;
"Fri Nov 13 21:43:43 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 19:28:16 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/cViYaYbOMA""";;;
"Fri Nov 13 19:47:29 +0000 2015,""Three days now unable to make online payments.  What's up with that?? @TMobile @TMobileHelp  https://t.co/GA0OIgJL7c""";;;
"Fri Nov 13 23:03:14 +0000 2015,""RT @TheAMAs: Tap """"Where Are � Now"""" to vote @justinbieber @diplo   @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.�""";;
"Sat Nov 14 01:32:35 +0000 2015,""@VZWSupport @pjsusqema Outage noticed @ 1830. Have been following ur convo w/ @bookey98. Not phone issue";" u have an outage.""";;
"Fri Nov 13 23:35:40 +0000 2015,""@JohnLegere @TMobile I really need some help with a store messing up my account and no one seems willing to take responsibility no upgrade?""";;;
"Sat Nov 14 01:26:52 +0000 2015,""Uber partners wi https://t.co/fSI6EH7jkM #comcast #newsanalysis #tomtom #uber #volkswagen #News #Startups #HowTo #DIY #Android #HowTo #Apps""";;;
"Fri Nov 13 22:57:36 +0000 2015,""Just got real free cell service with #ringplus https://t.co/JRfXTWlXM1 Thanks @ringplusmobile and @CNET  - sorry #TMobile #Verizon #ATT""";;;
"Fri Nov 13 19:17:20 +0000 2015,""@verizon fix the monopolization you guys have created with data. This is absurd, practically can't even use our phones anymore w out being""";;;
"Fri Nov 13 21:44:30 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 19:31:49 +0000 2015,""@VZWSupport You have to have received a ton of calls right now about messaging and email through Verizon.  No updates?""";;;
"Fri Nov 13 20:12:45 +0000 2015,""@tbassnc @TMobile @JohnLegere @52Creative @verizon I want the 6s Plus lol how much to switch?""";;;
"Fri Nov 13 23:39:06 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/IsIqoMhUH2""";;;
"Sat Nov 14 01:51:29 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/Wz7ugLNPzw""";;;
"Fri Nov 13 18:05:35 +0000 2015,""RT @FoMerlot: SHARING = OVERAGES  @TMobile will 2x's Data! Go 2 804 H St NE 2 find out more!  #NOSHARINGDATA #Dataday #UncarrierX https://t�""";;;
"Fri Nov 13 23:01:29 +0000 2015,""RT @TheAMAs: Tap """"Where Are � Now"""" to vote @justinbieber @diplo   @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.�""";;
"Fri Nov 13 20:46:48 +0000 2015,""RT @TheAMAs: Tap """"See You Again"""" to vote for @wizkhalifa   @charlieputh for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.co/6�""";;
"Fri Nov 13 21:42:38 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 20:55:11 +0000 2015,""@TMobile is complete garbage""";;;
"Fri Nov 13 19:32:26 +0000 2015,""FishinFrank99@verizon.net""";;;
"Fri Nov 13 21:08:18 +0000 2015,""@TMobile Plex #BingeOn""";;;
"Fri Nov 13 18:25:45 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 23:08:38 +0000 2015,""@VZWSupport nah we're broke don't charge us :/""";;;
"Sat Nov 14 01:48:45 +0000 2015,""RT @JohnLegere: In case you're living under a big rock and missed it, video streams free on @TMobile with #BingeOn #UncarrierX :) https://t�""";;;
"Fri Nov 13 21:02:43 +0000 2015,""@TMobileHelp San Diego international airport, gate 30.""";;;
"Fri Nov 13 18:31:52 +0000 2015,""Pretty sure Comcast paid my bill for me seeing as I don't owe anything. Thanks for helping my wallet @comcastcares !""";;;
"Fri Nov 13 18:26:32 +0000 2015,""@verizon wanna be nice   let me upgrade my phone even though I still have a few months left? This is an awful day. ? https://t.co/8MzENVHuhv""";;
"Sat Nov 14 00:22:22 +0000 2015,""RT @JohnLegere: Yep!  @Samsung #GearVR is coming to @TMobile!! https://t.co/j7wLUm3QRQ""";;;
"Fri Nov 13 20:38:12 +0000 2015,""@sprintcare @CARDSALLDAY26 @VZWSupport oh no I'm good. I just meant if he switches I get credit for the assist. Lol basketball reference""";;;
"Fri Nov 13 23:50:56 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/2rK2eCZ8nh""";;;
"Fri Nov 13 19:25:23 +0000 2015,""See every other company cares but y'all @ATT  https://t.co/S4ITPEeSZA""";;;
"Fri Nov 13 21:35:50 +0000 2015,""RT @Panthers: #Panthers fans, enter for a chance to win tickets, pregame passes   gear courtesy of @ATT! [https://t.co/Qgsmqj79PC] https://�""";;
"Fri Nov 13 23:48:52 +0000 2015,""@MSNBC @BBC @CNN @TMobile THEY hide amphetamine addiction adlib hallucinate all day ruin nights, why they hate facts isreali victims""";;;
"Fri Nov 13 18:55:35 +0000 2015,""#Verizon #Tablet � Verizon launches own-brand Ellipsis 10 tablet � To follow up� https://t.co/YiUN2nGnEW #Android https://t.co/mJj7U9DQsn""";;;
"Sat Nov 14 00:25:06 +0000 2015,""@VerizonSupport Thanks! My elderly mother in law has no phone service again. She is in early stages dementia and is an at risk customer.""";;;
"Fri Nov 13 18:24:06 +0000 2015,""RT @iFoodWorld: #foodphoto #food #chef #dish #foodeat #foodinlove #cook BBQ salmon tortilla pizzas https://t.co/KI4an7qVVw""";;;
"Fri Nov 13 19:49:26 +0000 2015,""I been with @ATT for 8 YEARS SON. THATS 14 GRAND FOR A PHONE BILL IN 8 YEARS AND YALL DOIN ME LIKE THIS IM GOIN TO @sprint""";;;
"Fri Nov 13 18:08:11 +0000 2015,""@JaeTaughtYou yes nice meeting you. Send me an email brw90@comcast.net""";;;
"Fri Nov 13 20:12:39 +0000 2015,""@TMobileHelp Sent :)""";;;
"Sat Nov 14 00:32:12 +0000 2015,""@ATTCares I want my bill free this month thank you!""";;;
"Fri Nov 13 22:04:30 +0000 2015,""WiE Techie and Techie Bytes getting ready for #TrashTrek challenge - thanks for your support @ATT @OhioStateWiE https://t.co/8J6EJlVVtW""";;;
"Fri Nov 13 19:42:43 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:33:08 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 21:36:19 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 23:05:59 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 22:16:52 +0000 2015,""@comcast finally clipped me saying i owe a ridiculous amount wow some service ??""";;;
"Fri Nov 13 18:11:41 +0000 2015,""@TMobileHelp Hi my number is a work number - no idea what the password is!""";;;
"Fri Nov 13 22:11:45 +0000 2015,""The #Verizon small, med, large play is a bad brand move. No consumer wants to feel small, the guy next in line is ordering XL. #sizematters""";;;
"Fri Nov 13 18:53:21 +0000 2015,""@JohnLegere @verizon @DavidGoldmanCNN lol fail""";;;
"Fri Nov 13 22:06:17 +0000 2015,""AT&amp";T;" #Retail #Sales Consultants San Francisco Area Stores CA 1000 SIGN ON BONUS!!! (#SanFrancisco) at #ATT #job https://t.co/FbbQ1wU6Z6""";
"Fri Nov 13 19:36:42 +0000 2015,""- do @ATT charge to change your phone number ?""";;;
"Fri Nov 13 22:39:38 +0000 2015,""@VZWSupport -FOLLOWERS- Verizon shut my phones off today because they refused to give me a correct amount owed on my account.""";;;
"Sat Nov 14 01:15:35 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/qVb4JA6Vcz""";;;
"Fri Nov 13 21:55:02 +0000 2015,""RT @TheAMAs: Tap """"Bad Blood"""" to vote for @taylorswift13   @kendricklamar for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.co/�""";;
"Fri Nov 13 20:12:16 +0000 2015,""@TWC @TWC_NYNJ So my modem is getting upgraded. Thank you for that. Now can we upgrade these Cable boxes!!!! SO SLOW Miss my @comcast X1 box""";;;
"Fri Nov 13 18:51:14 +0000 2015,""@VerizonSupport The policy says POP clients count as email access. The termination threatening email they sent a.w.a. cust support say 'no.'""";;;
"Fri Nov 13 21:08:08 +0000 2015,""@VLOHokie @TyrodTaylor and the rest was history #TMobile #TyrodTime #GameDay4Frank""";;;
"Fri Nov 13 21:36:15 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 19:38:53 +0000 2015,""Currently Naked "" just me, my bottle of moscato, my dog duchess and #Hulu #Fym #Fwm""";;;
"Sat Nov 14 00:18:17 +0000 2015,""Canceled @Comcast 2 months ago. Last month they billed us anyway. We got it credited. They just billed us again this month. Assholes.""";;;
"Fri Nov 13 21:03:14 +0000 2015,""@TMobileHelp ok. My text are all coming through now... don't know how. But thanks so much.""";;;
"Fri Nov 13 22:06:08 +0000 2015,""@comcast Im about ready to give up @Comcast because now wife asked for someone higher due to no answers..""";;;
"Sat Nov 14 00:25:00 +0000 2015,""Got my iPad Pro ... A gold 128 GB with @ATT ... Yay!""";;;
"Fri Nov 13 23:42:58 +0000 2015,""@JohnLegere @TMobile the store is the problem! The original Tacoma mall store told me we had JOD but now I don't! What gives?""";;;
"Sat Nov 14 00:32:51 +0000 2015,""@hulu fuck off of. My time line thanks""";;;
"Fri Nov 13 18:25:00 +0000 2015,""I shoulda said fuck @ATT a long time ago when y'all thought it was a good idea to take away unlimited data... ????""";;;
"Fri Nov 13 21:39:56 +0000 2015,""RT @TheAMAs: Tap """"Where Are � Now"""" to vote @justinbieber @diplo   @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.�""";;
"Fri Nov 13 22:22:38 +0000 2015,""No one can give me a direct answer as to when I will have service installed, they just leave me on hold.@VerizonSupport @verizon""";;;
"Fri Nov 13 22:33:36 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/j4ZOUgblnH""";;;
"Sat Nov 14 01:55:00 +0000 2015,""I liked a @YouTube video from @eusoujuliano https://t.co/EWqWGrP29y Knife Game to Dethklok @hulu @adultswim @_brendonsmall""";;;
"Fri Nov 13 21:55:46 +0000 2015,""RT @LovelyLucii_: @iambeckyg @ATT @ATTLatino @joeyguerra @EmpireFOX @PowerRangers I'm glad you had fun love I wanna meet you""";;;
"Fri Nov 13 22:57:02 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 22:47:25 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/SMwYh02jWa""";;;
"Fri Nov 13 18:18:18 +0000 2015,""The @comcastcares automated number is broken for accepting # input. Their voice recognition barely works. #ComcastDoesntCare""";;;
"Fri Nov 13 18:34:57 +0000 2015,""@VZWSupport Your site puts the 18gb plan at $100. You do realize you just masked a good deal with BS...what a shame to think I was stupid.""";;;
"Sat Nov 14 00:00:17 +0000 2015,""RT @mikedarmi: Looking for a way to throw several hundred $ a month into a fire barrel? #FF the crooks at @verizon @VZWSupport""";;;
"Fri Nov 13 20:51:04 +0000 2015,""Are u a ninja, yo location couldn't b found...but #TMobile is cracking me up""";;;
"Fri Nov 13 20:55:06 +0000 2015,""@ATT I need help with my gophone balance, can you help me?!""";;;
"Fri Nov 13 20:13:16 +0000 2015,""@VerizonSupport yes please!""";;;
"Fri Nov 13 23:04:10 +0000 2015,""@comcastcares FURTHER clues that Comcast gives literally no fu $s whatsoever about their service. I've been a victim of violent crime that""";;
"Fri Nov 13 20:25:39 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/fco1XsULLs""";;;
"Fri Nov 13 22:45:34 +0000 2015,""#FlashBackFriday w/ @cc_chapman in #TimesSquare for #VZWBuzz in #NYC conference sponsor @verizon FUN *barely slept https://t.co/wsL6KieGtH""";;;
"Fri Nov 13 20:54:27 +0000 2015,""@TMobile please add Amazon Video #BingeOn =)""";;;
"Fri Nov 13 19:30:38 +0000 2015,""#Verizon #Tablet � Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop� https://t.co/rThc7OENKK #Android""";;;
"Fri Nov 13 20:20:56 +0000 2015,""@comcastcares 24 hours to reply to this is not a good way to do that""";;;
"Fri Nov 13 21:29:13 +0000 2015,""@kerrywashington I was so exhausted last night, that for the first time ever, I fell asleep before the end! ?I will watch tonight on #hulu""";;;
"Fri Nov 13 21:42:02 +0000 2015,""Hey @ATT get your shit together, I have all the fucking bars in the world but I can't send a text. Glad Jason isn't chasing me #friday13th""";;;
"Sat Nov 14 00:34:18 +0000 2015,""@TMobileHelp for a week   My iMessages won't send and I receive messages hours later or not at all and my apps shut down and won't open:(""";;
"Fri Nov 13 23:03:09 +0000 2015,""@verizon lmfao you expensive tho""";;;
"Fri Nov 13 21:40:15 +0000 2015,""Anyone who wants bad service will go to ATT https://t.co/mgupJCInLE""";;;
"Fri Nov 13 21:49:29 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Fri Nov 13 20:25:49 +0000 2015,""RT @teenwolf_RT: Our #teenwolf pack demand to @hulu to bring all seasons of teen wolf to the streaming service thanks in advance @hulu_supp�""";;;
"Sat Nov 14 01:58:06 +0000 2015,""#Verizon #Tablet � Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE� https://t.co/o2jq5QVJrV #Android https://t.co/vqP55dx80s""";;;
"Fri Nov 13 19:54:23 +0000 2015,""@VerizonSupport okay, pressed, everything lit up, will check in a few minutes""";;;
"Fri Nov 13 22:24:08 +0000 2015,""#comcastcares: TheInternetBG I apologize for not reaching out sooner. Have you been able to discuss this billing i� https://t.co/rgQH0mo7aJ""";;;
"Sat Nov 14 01:31:59 +0000 2015,""RT @AyeDeeJaye: I want an iPhone but @ATT playin talking bout 6/17 which is not promised 2 me! But my God will mk a way He said dont mess w�""";;;
"Fri Nov 13 21:35:16 +0000 2015,""I just checked in @ATT with #mPLACES  Download today!  https://t.co/JSQQuwnhNd""";;;
"Sat Nov 14 01:09:15 +0000 2015,""@TMobile poorly timed autotweet. Should've recalled this until tomorrow""";;;
"Sat Nov 14 01:20:16 +0000 2015,""RT @JohnLegere: Have you seen these new @katespadeny cases available now at @TMobile?! I know my daughters will each want one! https://t.co�""";;;
"Fri Nov 13 20:46:00 +0000 2015,""@TMobileHelp Thanks! I will go ahead and change my plan.""";;;
"Sat Nov 14 00:59:15 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
"Sat Nov 14 01:21:18 +0000 2015,"".@dish please add ROOT SPORTS to your channel lineup. #ROOTSPORTS""";;;
"Fri Nov 13 19:25:59 +0000 2015,""BizWireTV with @ErinAde is covering @bebe @EA @Expensify @Target @TechCrunch @TMobile at https://t.co/bMyNHSLb20 https://t.co/ShJECpmdEo""";;;
"Fri Nov 13 21:08:50 +0000 2015,""Starting to dislike this image #outage @comcastcares @comcast, worked at home 3 days in a row, everyday so far #fail https://t.co/BLLVUFYLMj""";;;
"Fri Nov 13 20:04:38 +0000 2015,""#Verizon #Tablet � Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop� https://t.co/qurcpGN3iJ #Android""";;;
"Fri Nov 13 18:42:55 +0000 2015,""@comcastcares poor communication as usual https://t.co/32xICr8tmQ""";;;
"Fri Nov 13 21:45:21 +0000 2015,""I just entered to win the new #HTCOneA9 @ATT""";;;
